광물이름,보고서 내용,날짜
"동,니켈,아연","미달러가치 상승 및 광종별 수급상황에 따른 하락세 미국의 물가상승에 따른 긴축정책 강화 우려로 미달러가치가 상승하면서 위험자산 투자기피 및 광종별 수급상황에 따라 비철금속 하방압력이 발생함. 이에따라 전기동과 니켈가격은 3월1주차 기준 각각 전주대비 1.3%, 4.8% 하락세를 나타냄. 미국의 1월 근원 개인소비지출(PCE) 가격지수는 전년동월대비 4.7% 상승으로 전월대비 0.1%p, 전망치 대비 0.3%p 상승하면서 금리인상 우려가 심화됨. 3월1주차 미달러인덱스는 104.67로 전주대비 0.09p 상승, 5주연속 상승세로 자원가격 하락요인으로 작용하는 상황임. 다만, 중국의 코로나 봉쇄정책 해제효과로 2월 제조업 PMI가 51.6으로 전월대비 2.4p 상승으로 8개월내 최대치이자 작년 7월이후 처음으로 확장국면으로 전환하는 등 경기회복 기대감으로 상기 하방압력을 부분적으로 상쇄하는 것으로 분석. 동은 칠레 국영 Cochilco에 따르면 1월 칠레의 동 광산생산량이 전년동월대비 2.9% 증가했으며, 국영기업 Codelco사의 동 생산량도 전년동월대비 5.1% 증가하는 등 생산회복세가 나타남. 또한 홍수로 인해 가동이 중단되었던 Freeport McMoRan사의 인도네시아 Grasberg광산(`21년 606천톤 생산)이 생산을 재개한 것으로 전해짐. 니켈은 최근 중국의 스테인리스(300계열) 유통 재고량이 작년말대비 70% 가량 증가한 것으로 나타나면서 수요둔화 우려가 제기됨. 다만, LME의 니켈 재고량이 3월1주차기준 44,261톤으로 전주대비 0.9% 감소, 8주연속 감소세로 타이트한 수급상황은 지속됨",202023
유연탄,"계절성 수요둔화로 전주대비 소폭 하락 3월1주차 국제유가(WTI)는 배럴당 79.68달러로 전주대비 4.4% 상승한 가운데 계절성 수요둔화로 하방압력이 발생하였으나, 중국의 호주탄 수입재개 조치로 연료탄 가격은 보합세를 나타냄",202023
철광석,미연준 금리인상 우려로 하락세 미연준의 금리인상 우려로 달러가치 상승에 따른 가격하방압력이 발생하면서 철광석 가격은 톤당 125달러로 전주대비 4.1% 하락세를 나타냄,202023
우라늄,"파운드(lb)당 50.73달러, 전주대비 1.9% 하락세
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
2.4주
3.1주
전주비(%)
페로망간
     1,551 
   1,481 
△4.5
     1,485 
     1,475 
△0.7
탄산리튬
    72,290 
   65,648 
△9.2
    58,729 
    52,927 
△9.9
코발트
     31.20 
    19.20 
△38.5
     17.64 
     17.94 
1.7
회
토 
류
산화디스프로슘
   380,494 
  347,551 
△8.7
   327,100 
  304,900 
△6.8
산화네오디뮴
   133,607 
   113,810 
△14.8
   107,860 
  102,780 
△4.7
산화이트륨
    11,621 
    7,877 
△32.2
     8,100 
     8,220 
1.5
산화세륨
     1,450 
     1,207 
△16.8
     1,175 
     1,175 
산화란탄
     1,392 
    1,157 
△16.9
     1,125 
     1,125 
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,"높은 광석 원료 비용과 제한된 거래물량 속에 가격 유지 현물시장 거래가 없으며, 대다수 수요업체는 향후 가격 향방을 주목하며 관망세
  - 중국 수출가도 해외 수요 감소 기조 속에 2.21일 이후 변동없이 유지",202023
탄산리튬,"이차전지 수요 약세 속 공급 증가 전망으로 단기적 가격 하락 전망 중국의 금년 초 이차전지 성장 둔화 우려 속 호주·아프리카 등에서 개발되는 광석량이 늘어날 예정으로 가격 하락 추세 지속
  - 중국 정부는 리튬 주요 생산단지인 장시성 이춘시에 불법 개발 등 단속을 위한 합동조사단을 보내 조사중으로, 광산·처리시설 등이 가동을 중단하며 생산 차질이 있었으나, 가격 하락에 미치는 영향은 미미",202023
코발트,"미국 항공기향 합금용 수요 증가에 따른 가격 소폭 상승 미국 항공 분야 합금생산 업체들의 군사·민간용 항공기향 코발트 합금 수요 증가
   * 해당 분야는 특정 브랜드의 Cut Cathode 등 제품만을 사용할 수 있어 Alloy grade와 Standard garde 간 가격 격차 심화 예상",202023
희토류,"자동차용 영구자석 부문의 수요 감소 기조에 따른 가격 큰 폭 하락 주요 자동차 생산업체들의 희토류 영구자석 사용 감축 발표 및 중국산 희토류  의존도 경감 계획에 따라 가격 하락
   * 테슬라(3.2일) 향후 생산 차종에 희토류 소재 활용 중단 계획 발표 및 일본 자동차 제조사들(2.27일) 중희토 사용량 경감 예정 발표  
  - (경희토류) 산화네오디뮴 가격 하락, 산화세륨·란탄 가격 유지
  - (중희토류) 산화디스프로슘 가격 하락, 산화이트륨 가격 상승",202023
"동,니켈,아연","미연준 긴축정책 강화 우려 및 중국 경기부진으로 하방압력 발생 미연준의 금리인상 가속화 우려에 따른 달러화 강세로 위험자산 기피심리가 확산되는 가운데 중국의 경기회복 부진으로 비철금속 하방압력이 발생하면서 전기동과 니켈가격은 3월2주차 기준 각각 전주대비 1.1%, 3.4% 하락세를 나타냄. 미국 상원 은행위원회에서 제롬파월 연준의장은 경제지표가 예상보다 견고한 흐름을 보이면서 최종 기준금리의 수준이 예상보다 높을 가능성이 있다고 언급함. 같은기간 미달러인덱스는 105.08로 전주대비 0.41p 상승, 6주연속 상승세로 가격하락요인으로 작용함. 한편, 중국의 1~2월 수입액은 3,894억달러로 전년동기대비 10.2% 감소세로 경기지표가 부진한 점도 하방압력을 심화시키는 것으로 분석. 동은 파나마 정부와 First Quantum Minerals사 양측이 Cobre Panama 광산 운영권 협상안에 합의하면서 공급차질 우려가 완화됨. 금번 협상안은 30일간의 리뷰과정을 거친 후 의회 인준을 받을 것으로 전해짐. 니켈은 LME 재고량이 3월2주차 기준 44,048톤으로 전주대비 0.5% 감소, 9주연속 감소세로 타이트한 수급상황이 지속되면서 상기 하방압력이 부분적으로 상쇄됨",202023
유연탄,유가하락 및 계절성 수요둔화에 따른 하락세 3월2주차 국제유가(WTI)는 배럴당 76.68달러로 전주대비 3.8% 하락한 가운데 계절성 수요둔화로 하방압력이 발생하면서 3월2주차 연료탄 가격은 톤당 186달러로 전주대비 4.9% 하락세를 나타냄,202023
철광석,"중국 양회의 경기부양책 기대에 따른 상승세 미연준의 긴축정책 강화 우려에도 불구, 철광석 가격은 지난주 개최된 중국 양회의 경기부양책 기대감에 힘입어 톤당 127달러로 전주대비 1.8% 소폭 상승함",202023
우라늄,"파운드(lb)당 50.84달러, 전주대비 0.2% 상승세
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
3.1주
3.2주
전주비(%)
페로망간
     1,551 
     1,480 
△4.6
     1,475 
     1,475 
탄산리튬
    72,290 
    63,700 
△11.9
    52,927 
    49,479 
△6.5
코발트
     31.20 
     19.08 
△38.8
     17.94 
     18.06 
0.7
회
토 
류
산화디스프로슘
   380,494 
   340,727 
△10.5
   304,900 
  287,500 
△5.7
산화네오디뮴
   133,607 
   111,495 
△16.5
   102,780 
    93,440 
△9.1
산화이트륨
    11,621 
     7,919 
△31.9
     8,220 
     8,250 
0.4
산화세륨
     1,450 
     1,203 
△17.0
     1,175 
     1,175 
산화란탄
     1,392 
     1,153 
△17.1
     1,125 
     1,125 
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,"높은 광석 원료 비용과 제한된 거래물량 속에 가격 유지 현물시장 거래가 없고, 대다수 수요업체는 향후 가격 향방을 주목하며 관망세",202023
탄산리튬,"이차전지 수요 약세 속 공급 증가 전망으로 단기적 가격 하락 전망 연초 이차전지 분야 수요 감소와 단기적 가격 하락 전망이 지배적으로, 수요업체들은 향후 추가적인 가격 하락을 기대하며 즉시 사용 물량만을 구매
  - 리튬 화합물 원료인 스포듀민, 탄산·수산화리튬 및 LCO 양극재 등 리튬 관련 제품    전반의 가격 하락세 지속
   * 탄산리튬 가격은 지난해 11월 최고가 기록 이후 약 37% 급감",202023
코발트,"금속 중심 수요 상승으로 가격 반등세 지난해 입찰한 중국 물자비축국(SRB) 입찰이행 물량 수요 등 금속에 대한 수요 확대로 가격 상승
  - 금속 수요는 타이트한 반면 수산화코발트는 민주콩고공화국의 공급과잉 상황",202023
희토류,"영구자석 부문의 수요 감소와 과잉 공급 상황으로 가격 하락 지속 중국 내·외 영국자석 분야의 수요 감소 상황이 지속되는 반면, 공급은 충분한 상황속에 향후 단기적 추가 가격하락을 예상하며 수요자들은 구매 최소화
  - (경희토류) 산화네오디뮴 가격 하락, 산화세륨·란탄 가격 유지
  - (중희토류) 산화디스프로슘 가격 하락, 산화이트륨 가격 상승",202023
"동,니켈,아연","주요국 금융위기 우려에 따른 위험자산 하방리스크 부각 주요국 금융시장 불안에 따른 리스크 확대로 위험자산 투자기피 심리가 확산되면서 비철금속 하방압력이 발생하였으나, 미국의 물가상승 완화에 따른 금리인상 속도 둔화 전망으로 하방압력이 부분적으로 상쇄됨. 이에따라 3월3주차 전기동과 니켈가격은 각각 전주대비 1.8%, 3.7% 하락세를 나타냄. 미국내 자산규모 16위 은행인 실리콘밸리은행(SVB)의 파산으로 `08년 금융위기 이후 최대 규모의 은행 부도사태를 맞았으며, 사우디의 크레딧스위스(CS) 자금지원 중단소식으로 금융위기 우려가 심화되면서 위험자산 시장에 대한 하방리스크가 부각되고 있음. 한편 미국의 2월 인플레이션율은 6%로 전월대비 0.4%p 하락, `21년9월이후 최저치를 경신하면서 물가상승이 완화되고 있으며, 미달러인덱스는 103.73으로 전주대비 1.35p 하락하면서 상기 하방압력을 부분상쇄함. 동은 캐나다 First Quantum Minerals사가 파나마 정부와 Cobre Panama 동 광산의 운영권 계약협상 타결로 광산의 조업재개를 3월15일 발표함. 향후 20년간 연간 3억7,500만달러규모의 법인세 등을 지급하는 조건으로 합의되면서 동 정광 선적중단 및 수출제한조치가 해제되어 공급차질 우려가 완화됨. 니켈은 3월3주차 LME 재고량이 44,287톤으로 전주대비 0.5% 소폭 증가로 타이트한 수급상황이 지속됨",202023
유연탄,유가하락 및 계절성 수요둔화에 따른 하락세 3월3주차 국제유가(WTI)는 배럴당 66.74달러로 전주대비 13% 급락한 가운데 계절성 수요둔화로 하방압력이 발생하면서 3월3주차 연료탄 가격은 톤당 182.64달러로 전주대비 1.9% 하락세를 나타냄,202023
철광석,미달러가치 하락 및 중국 경기회복 기대에 따른 상승세 미연준의 금리인상 속도둔화 전망으로 달러가치가 하락한 가운데 중국의 경기회복 기대에 따른 상승압력이 발생하면서 철광석 가격은 전주대비 3.8% 상승함,202023
우라늄,"파운드(lb)당 50.11달러, 전주대비 1.4% 하락세
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
3.2주
3.3주
전주비(%)
페로망간
     1,551 
     1,476 
△4.8
     1,475 
     1,435 
△2.7
탄산리튬
    72,290 
    61,839 
△14.5
    49,479 
    46,322 
△6.4
코발트
     31.20 
     18.99 
△39.1
     18.06 
     18.05 
△0.1
회
토 
류
산화디스프로슘
   380,494 
   335,194 
△11.9
  287,500 
  286,500 
△0.3
산화네오디뮴
   133,607 
   109,106 
△18.3
    93,440 
    88,080 
△5.7
산화이트륨
    11,621 
     7,953 
△31.6
     8,250 
     8,250 
산화세륨
     1,450 
     1,201 
△17.2
     1,175 
     1,175 
산화란탄
     1,392 
     1,151 
△17.3
     1,125 
     1,125 
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,충분한 공급과 낮은 수요 시장으로 인한 가격 하락 철강 제조사 및 유통업체 현물 수요 감소 및 향후 단기적 가격의 추가 하락을 예상하며 재고 확보 지연,202023
탄산리튬,"이차전지 수요 약세 속 공급 증가 전망으로 단기적 가격 하락 전망 리튬이온 배터리 분야가 낮은 가동률을 보이며 수요가 감소하고 수요업체들은 즉시 사용 물량만을 구매하는 반면, 탄산리튬 제조사들의 생산 재고가 늘어나 입찰가를 낮추면서 판매 희망
  - 시장참여자들은 양극재 제조사가 원료 재고수준을 낮춰 3월 중 가격 하락 지속 전망",202023
코발트,"수요 강세 꺾이며 가격 안정세, 시장참여자들 향후 가격 방향에 주목 중국 물자비축국(SRB) 입찰이행 막바지로 타이트한 공급이 완화되며 가격 소폭 하락
  - Alloy Grade 금속 수요업체들은 대부분 미국으로 공급망이 이어져 중국·러시아 제품에 대한 사용이 제한됨에 따라, Standard Grade 금속과 가격 이격 심화",202023
희토류,"영구자석 부문의 수요 감소와 과잉 공급 상황으로 가격 하락 지속 영구자석 분야의 수요 감소 상황 지속과 광석 등 원료의 공급 과잉으로 가격 하락 
  - (경희토류) 산화네오디뮴 가격 하락, 산화세륨·란탄 가격 유지
  - (중희토류) 산화디스프로슘 가격 하락, 산화이트륨 가격 유지
   * 네오디뮴 ’21.7월 이후 최저가, 디스프로슘 ’21.1월 이후 최저가 기록",202023
"동,니켈,아연","주요국 금융리스크 지속에 따른 하락세 (다만, 동은 상승세) 미국 실리콘밸리은행(SVB) 파산, 스위스 크레딧스위스(CS)의 유동성 위기로 주요국 금융위기 우려가 지속되면서 비철금속 하방압력이 발생함. 다만, 미연준의 금리인상 속도둔화 전망에 따른 달러가치 하락으로 위험자산 투자선호가 개선되는 가운데 중국의 리오프닝 정책에 따른 경제활동 재개로 상기 하방압력이 상쇄되는 것으로 분석. 이에따라 3월4주차 니켈과 아연가격은 각각 전주대비 2.4%, 0.1% 소폭 하락하였으며, 전기동 가격은 중국의 수입수요 회복에 따른 가격지지로 전주대비 2.1% 상승세를 나타냄. 같은기간 미달러인덱스는 102.55로 전주대비 1.18p 하락, 2주연속 하락세로 위험자산의 가격상승요인으로 작용함. 동은 중국의 코로나 봉쇄정책 해제로 전기동 수입이 회복세를 나타내고 있으며, 양산의 전기동 수입 프리미엄은 3월초 톤당 30달러 미만에서 40달러 후반까지 반등함. 또한 3월4주차 LME의 동 재고량은 74,815톤으로 연초대비 14.8% 낮은 수준을 기록함. Goldman Sachs사는 동 시장이 세계 금융시장 위기에 따른 원자재 시장으로의 투자 유입, 중국의 경기회복 및 낮은 재고수준으로 인해 단기적 시장강세가 나타날 것으로 전망함. 니켈은 LME가 유동성 확대를 위해 3월20일부터 아시안 시간대의 거래를 재개한다고 발표함",202023
유연탄,"주요국 수요둔화 및 중국의 증산여파에 따른 하락세 3월4주차 국제유가(WTI)는 배럴당 69.26달러로 전주대비 3.8% 반등하였으나, 연료탄 가격은 미국과 유럽의 이상고온에 따른 수요둔화 및 중국의 `22년 증산여파(`22년 중국의 석탄생산량 45억톤, 전년대비 9% 증산)로 하방추세가 지속됨",202023
철광석,주요국 은행리스크 및 중국 정부의 시장개입에 따른 하락세 주요국 금융시장 리스크 지속 및 중국의 철광석 가격안정화 시장개입 여파로 하방압력이 발생하면서 철광석 가격은 전주대비 6.7% 하락함. 중국 정부는 철광석 사재기 및 추가비축 중단을 촉구하며 가격안정화를 위한 시장개입을 추진함,202023
우라늄,"파운드(lb)당 50.19달러, 전주대비 0.2% 상승세
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
3.3주
3.4주
전주비(%)
페로망간
     1,551 
     1,473 
△5.1
     1,435 
     1,435 
탄산리튬
    72,290 
    59,858 
△17.2
    46,322 
    41,309 
△10.8
코발트
     31.20 
     18.90 
△39.4
     18.05 
     17.97 
△0.4
회
토 
류
산화디스프로슘
   380,494 
   330,907 
△13.0
  286,500 
  288,900 
0.8
산화네오디뮴
   133,607 
   106,970 
△19.9
    88,080 
    86,040 
△2.3
산화이트륨
    11,621 
     7,981 
△31.3
     8,250 
     8,250 
산화세륨
     1,450 
     1,198 
△17.4
     1,175 
     1,175 
산화란탄
     1,392 
     1,148 
△17.5
     1,125 
     1,125 
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,"수요업체들의 구매 활동 감소 속에 가격 유지 공급업체들은 확고한 광석 원료 가격으로 판매가를 유지하고 있으나, 다수 수요 업체들은 4월 입찰가의 방향을 주시하며 관망세 유지",202023
탄산리튬,"호주·아프리카 등의 생산량 증설과 가파른 가격 하락세 지속 중국 Huayou Cobalt社, 아프리카 짐바브웨 Arcadia 광산에서 정광 생산시작 보고 등  글로벌 리튬 생산량 증설 지속
  - 4월, 기온 상승 등으로 중국 리튬 최대 생산지인 칭하이성의 생산량이 늘어날 것으로 보여 시장참여자들은 단기적 가격 하락세 지속 전망
   * 현재 탄산리튬 가격은 11월 중순 최고가 대비 약 50% 하락한 수준",202023
코발트,낮은 수요속에 거래량 줄며 가격 소폭 하락 중국 코발트화합물 제조업체들의 낮아진 수요로 인해 브리켓 유통업체들은 유럽 현물 구매업체 물색,202023
희토류,"영구자석 부문의 수요 감소와 과잉 공급 상황으로 가격 하락 지속 영구자석 희토류 금속가공 공장 등 영구자석 생산자의 구매 재개로 가격 소폭 반등하였으나, 영구자석 자체의 수요는 크게 늘지 않아 향후 가격 향방 미지수
  - (경희토류) 산화네오디뮴 가격 하락, 산화세륨·란탄 가격 유지
  - (중희토류) 산화디스프로슘 가격 상승, 산화이트륨 가격 유지",202023
"동,니켈,아연","주요국 은행리스크 완화 및 달러가치 하락에 따른 상승세 미국 실리콘밸리은행(SVB) 파산, 스위스 크레딧스위스(CS)의 유동성 위기에 따른 은행리스크가 정부당국의 예금보증 등 안정화 개입으로 완화되면서 위험자산 투자심리가 회복되었으며, 광종별 수급상황에 따라 가격상승압력이 발생함. 이에따라 3월 마지막주 전기동과 니켈가격은 각각 전주대비 1.6%, 5.5% 상승세를 나타냄. 같은기간 미달러인덱스는 102.19로 미연준의 5월 FOMC의 금리인상 속도조절 전망이 제기되면서 전주대비 0.36p 하락, 3주연속 하락세로 위험자산 투자선호를 개선시키는 것으로 분석. 동은 중국의 코로나 봉쇄해제에 따른 경제활동 재개에 힘입어 최근 LME의 전기동 재고량 중 출하예정량을 제외한 가용재고가 5만톤 미만으로 역사적 저점에 근접함에 따라 타이트한 수급상황으로 가격상승요인으로 작용함. 또한 칠레 국영기업 Codelco사는 자사의 금년 동 생산전망치를 135~145만톤으로 전망하면서 대형광산 노후화에 따른 품위저하, 용수부족 문제로 작년 생산수준인 144.6만톤을 하회할 것으로 예상함. 니켈은 중국의 금년 2월 니켈습식제련 중간체 수입량은 113,746톤으로 전년동월대비 200.5% 증가로 역대 최고치를 기록하는 등 수입수요가 확대됨",202023
유연탄,"국제유가 상승에 따른 상승세 3월5주차 국제유가(WTI)는 배럴당 75.67달러로 전주대비 9.3% 상승, 2주연속 상승세로 에너지원 가격상승을 견인중이며, 중국, 인도 등 주요국의 하절기 대비 석탄 비축확대 등으로 연료탄 가격이 톤당 195달러로 전주대비 7% 상승세로 전환됨",202023
철광석,주요국 은행리스크 완화 및 중국 경기회복 기대에 따른 상승세 주요국 금융리스크 완화 및 중국의 코로나 봉쇄해제 이후 경제활동 재개에 따른 수요확대로 철광석 가격은 전주대비 0.3% 소폭의 상승세를 나타냄,202023
우라늄,"파운드(lb)당 50.35달러, 전주대비 0.3% 상승세
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
3.4주
3.5주
전주비(%)
페로망간
     1,551 
     1,468 
△5.4
     1,435 
     1,415 
△1.4
탄산리튬
    72,290 
    57,725 
△20.1
    41,309 
    35,599 
△13.8
코발트
     31.20 
     18.83 
△39.7
     17.97 
     17.95 
△0.1
회
토 
류
산화디스프로슘
   380,494 
   327,856 
△13.8
   288,900 
  294,900 
2.1
산화네오디뮴
   133,607 
   104,902 
△21.5
    86,040 
    82,560 
△4.0
산화이트륨
    11,621 
     8,003 
△31.1
     8,250 
     8,250 
산화세륨
     1,450 
     1,196 
△17.5
     1,175 
     1,175 
산화란탄
     1,392 
     1,146 
△17.7
     1,125 
     1,125 
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,"제철사, 유통업체의 현물 수요 감소로 가격 약세 추세 지속 수요 감소 및 충분한 현물 공급물량으로 가격 하락이 지속되며, 단기적 가격 하락 전망으로 수요업체는 재고 확보 지연
   * ’21.10월 톤당 2,495달러(5년 내 최고점) 대비 현재가격 56% 수준",202023
탄산리튬,"시장참여자들의 가격 약세 전망 속에 가격 큰 폭 하락 중국 신에너지차량 산업 수요 부진 속에 다수 수요업체는 구매에 관망세를 유지하고 있는 반면, 공급업체는 재고가 지속적으로 늘어 가격 인하를 통한 판매 추진
  - 호주 Westfarmers, Pilbara 등은 생산 증설 계획을 검토·진행하며, 공급증설 지속 예정
   * 현재 탄산리튬 가격은 11월 중순 최고가(597,500 위안) 대비 약 40% 수준",202023
코발트,"낮은 수요·거래량 및 공급 증설 가능성으로 가격 소폭 하락 코발트 화합물 대비 코발트 금속의 높은 가격 프리미엄으로 향후 중국 화합물 생산자들의 금속 전환 생산 증가 전망
  - 중국 코발트 수요산업인 영구자석 및 양극재 분야 수요 부진 지속",202023
희토류,"영구자석 분야 희토류 원소별 수요에 따른 다른 가격 방향성 네오디뮴 시장은 장기계약 물량으로 충분한 공급이 이루어지며 현물수요가 없는 반면, 디스프로슘에 대해서는 중국 대형기업의 확고한 재고확보 수요로 가격 상승
  - (경희토류) 산화네오디뮴 가격 하락, 산화세륨·란탄 가격 유지
  - (중희토류) 산화디스프로슘 가격 상승, 산화이트륨 가격 유지",202023
"동,니켈,아연","주요국 금융불안 및 중국 경기지표 부진에 따른 하락세 주요국 은행리스크 여파에 따른 글로벌 위험자산 투자기피 심리 확산 및 중국의 경기지표 부진으로 비철금속 하방압력이 발생하면서 4월1주차 전기동과 니켈가격은 각각 전주대비 1.0%, 1.5% 하락세를 나타냄. 미국의 2월 인플레이션율은 6%로 전월대비 0.4%p 하락하면서 `21년9월이후 최저치를 경신하는 등 미연준의 5월 금리인상 속도조절 가능성은 높아지고 있으나, 미국, 스위스 등 금융불안 여파로 하방압력이 높아진 것으로 분석. 한편 중국의 3월 제조업 PMI는 50.0으로 부동산 경기하강 및 글로벌 금융위기 우려로 전월대비 1.6p 하락하였고, 중국의 주요 70개도시 2월 신규주택 평균가격도 1.2% 하락, 10개월연속 하락세로 경기지표가 부진한 상황임. 다만, 동은 칠레의 동 위원회 Cochilco에 따르면 2월 칠레 동 생산량이 381천톤으로 용수부족 및 광석 품위저하 문제로 전월대비 12% 감소, 전년동월대비 3.4% 감소하면서 공급차질 우려가 제기됨. 같은기간 국영 Codelco사의 동 생산량은 105,400톤으로 전년동월대비 14.8% 급감함. 또한 LME의 동 재고량도 42,575톤으로 전주대비 4.6% 감소, 2주연속 감소세로 상기 가격하방압력이 부분적으로 상쇄됨. 니켈은 LME 재고량이 42,575톤으로 전주대비 4.1% 감소하면서 타이트한 수급상황을 나타냄",202023
유연탄,"국제유가 상승에 따른 상승세 4월1주차 국제유가(WTI)는 배럴당 80.7달러로 OPEC+의 감산 발표에 따라 전주대비 5.0% 상승, 3주연속 상승세로 에너지원 가격상승을 견인하고 있으며, 연료탄 가격도 톤당 221.59달러로 전주대비 13.6% 상승세를 지속함",202023
철광석,중국의 경기지표 부진에 따른 하락세 중국의 제조업 및 부동산 부문 경기지표 부진으로 하방압력이 발생하면서 철광석 가격은 톤당 120.53달러로 전주대비 2.4% 하락세임,202023
우라늄,"파운드(lb)당 50.35달러, 전주대비 변동없음
2. 주요 희소금속 : 망간, 리튬, 코발트, 희토류
단위 : U$/톤(코발트:U$/lb)

氠瑢
 
광종
연평균
주간평균
‘22
‘23
전년비(%)
3.5주
4.1주
전주비(%)
페로망간
     1,551 
     1,462 
△5.7
     1,415 
     1,385 
△2.1
탄산리튬
    72,290 
    56,022 
△22.5
    35,599 
    31,847 
△10.5
코발트
     31.20 
     18.78 
△39.8
     17.95 
     17.95 
회
토 
류
산화디스프로슘
   380,494 
   325,976 
△14.3
   294,900 
  298,250 
1.1
산화네오디뮴
   133,607 
   103,327 
△22.7
    82,560 
    80,100 
△3.0
산화이트륨
    11,621 
     8,019 
△31.0
     8,250 
     8,250 
산화세륨
     1,450 
     1,193 
△17.7
     1,175 
     1,150 
△2.1
산화란탄
     1,392 
     1,143 
△17.9
     1,125 
     1,100 
△2.2
※ 페로망간(중국 FOB기준 75%), 탄산리튬(중국 내수가격, 99.5%min), 코발트(유럽 in-warehouse기준 99.8%min), 산화디스프로슘(중국 FOB기준 99.5%min), 산화네오디뮴(중국 FOB기준 99.5∼99.9%), 산화이트륨(중국 FOB기준 99.999%min), 산화세륨, 산화란탄(중국 FOB기준 99.5∼99.9%min)",202023
페로망간,"제철사, 유통업체의 현물 수요 감소로 가격 약세 추세 지속 수요 감소 및 충분한 현물 공급물량으로 가격 하락이 지속되며, 단기적 가격 하락 전망으로 수요업체는 재고 확보 지연",202023
탄산리튬,"시장참여자들의 가격 약세 전망 속에 가격 큰 폭 하락 이차전지 및 전기차 제조사의 리튬원료 재고 최소화 등으로 수요 위축 계속되며 가격 하락 지속
   * 시장관계자들은 리튬가격의 안정화와 반등은 수요기업들이 재고 확보에 다시 나설 때 이루어질 것으로 예상
  - 일부 시장관계자들은 중국 주요 리튬화합물 제조사들이 탄산리튬 판매가격에 대해 톤당 25만 위안(약 36,338달러, 4.10일 기준)으로 하한선을 합의했다고 전했으나, 해당업체들의 공식적 발표는 없음",202023
코발트,"낮은 수요·거래량 상황 지속되며 가격 유지 중국 코발트 수요산업인 영구자석 및 양극재 분야 수요 부진 지속되며 재고확보에 관망세 
   * Alloy Grade 제품의 Chemical Grade 제품 대비 프리미엄이 지속되며, Chemical Grade 중 브리켓이 가격 하한, Cut Cathode가 상한에 위치
  - 하반기 코발트 수요 증가가 전망되나, 중국 화합물 생산업체들의 금속 생산으로의 전환이 예상되어 상승 제한 분석",202023
